Day,Price,Action,Amount
3,1.0,BUY,9990.0
4,1.0099999904632568,SELL,10079.810004823208
6,1.0,BUY,10069.730194818385
7,1.0,SELL,10059.660464623566
9,1.0,BUY,10049.600804158943
10,1.0099999904632568,SELL,10139.946619643712
12,0.9700000286102296,BUY,10443.099354891337
14,0.9399999976158142,SELL,9806.696855330869
15,0.9800000190734864,BUY,9996.826497756329
16,0.9700000286102296,SELL,9687.225066846304
17,0.9399999976158142,BUY,10295.253049282184
19,0.9300000071525574,SELL,9565.01082406035
20,0.8999999761581421,BUY,9555.446066369164
21,0.9300000071525574,SELL,9834.179427565165
22,0.9399999976158142,BUY,9928.85958447124
24,0.949999988079071,SELL,9914.693041777819
26,1.0,BUY,9904.778348736041
27,0.9900000095367432,SELL,9795.9249290483
28,1.0399999618530271,BUY,9409.739772184943
29,1.0399999618530271,SELL,9776.342875115133
31,0.9300000071525574,BUY,10501.684362501202
32,0.9700000286102296,SELL,10176.447497949684
34,0.9399999976158142,BUY,10815.181995996954
35,0.9700000286102296,SELL,10480.236118696343
36,0.9700000286102296,BUY,10793.562447186954
37,0.9700000286102296,SELL,10459.286126695068
38,0.9399999976158142,BUY,11115.773262840894
40,0.9700000286102296,SELL,10771.518082597513
41,0.9700000286102296,BUY,11093.552832088477
42,0.949999988079071,SELL,10528.33618318036
43,0.9399999976158142,BUY,11189.157312419371
46,0.949999988079071,SELL,10619.06961409984
49,1.0299999713897705,BUY,10299.466834131894
51,1.0700000524520874,SELL,11009.409622696912
73,1.1699999570846558,BUY,9400.3424072591
74,1.1699999570846558,SELL,10987.401812861142
79,1.059999942779541,BUY,10355.108493936172
80,1.0099999904632568,SELL,10448.200820641401
82,1.0299999713897705,BUY,10133.740689077094
83,0.9399999976158142,STOP_LOSS,9516.190507348176
90,0.959999978542328,BUY,9902.78596805371
98,1.0,SELL,9892.883182085656
140,0.959999978542328,BUY,10294.78179146419
141,0.9200000166893004,SELL,9461.728220539799
149,0.8700000047683716,BUY,10864.674069554547
150,0.7799999713897705,STOP_LOSS,8465.971017948317
